"Order ID",Category,Amount,ship-city,Status
402-9688506-1085969,Set,1099,Jabalpur,"Shipped - Returned to Seller"
404-6500528-6337929,"Western Dress",859,PUNE,"Shipped - Returned to Seller"
408-0341098-0750713,kurta,295,HYDERABAD,"Shipped - Returned to Seller"
408-0324996-7165165,kurta,353,Konavattam,"Shipped - Returned to Seller"
407-7444718-4046736,Set,597,JAMSHEDPUR,"Shipped - Returned to Seller"
404-2133920-8708322,kurta,549,ANAPARTHY,"Shipped - Returned to Seller"
406-7471935-4885147,Set,1221,BHIWANI,"Shipped - Returned to Seller"
405-6863302-9585169,kurta,295,CHENNAI,"Shipped - Returned to Seller"
402-9644154-6466706,"Western Dress",744,"NEW DELHI","Shipped - Returned to Seller"
408-8190157-6023560,Top,0,Dalhousie,"Shipped - Returned to Seller"
403-8409675-5935538,Set,696,GHAZIABAD,"Shipped - Returned to Seller"
171-7920693-5381136,kurta,549,MUMBAI,"Shipped - Returned to Seller"
402-3591311-9805118,kurta,685,NIZAMABAD,"Shipped - Returned to Seller"
404-1500003-2290719,Top,463,"NEW DELHI","Shipped - Returned to Seller"
406-0004667-9463525,"Western Dress",859,SIDLAGHATTA,"Shipped - Returned to Seller"
408-6751120-7268354,Set,852,"NEW DELHI","Shipped - Returned to Seller"
408-8632965-1144365,kurta,487,"NEW DELHI","Shipped - Returned to Seller"
405-6047326-7790733,Set,1186,KESINGA,"Shipped - Returned to Seller"
407-4477555-5374700,"Western Dress",744,RANCHI,"Shipped - Returned to Seller"
407-7618988-7372343,Set,654,HYDERABAD,"Shipped - Returned to Seller"
407-0010693-3459568,kurta,517,"NAVI MUMBAI","Shipped - Returned to Seller"
406-1292593-2089908,Set,666,HYDERABAD,"Shipped - Returned to Seller"
408-6504847-3620351,kurta,368,REWA,"Shipped - Returned to Seller"
408-2977042-9756314,kurta,357,ALIGARH,"Shipped - Returned to Seller"
405-5438276-5641155,Set,657,NAUGACHHIA,"Shipped - Returned to Seller"
171-6683623-2709143,kurta,499,MUMBAI,"Shipped - Returned to Seller"
403-6508394-8725110,kurta,399,BHUBANESWAR,"Shipped - Returned to Seller"
406-6184203-4412353,"Western Dress",690,Bengaluru,"Shipped - Returned to Seller"
406-5946290-6386716,Set,1186,BURDWAN,"Shipped - Returned to Seller"
408-4925494-9809113,Set,582,UNNAO,"Shipped - Returned to Seller"
406-5856549-7992311,kurta,476,Faridabad,"Shipped - Returned to Seller"
402-7739412-6117164,kurta,549,bhawanipatna,"Shipped - Returned to Seller"
403-0032274-6751564,Set,597,SHIVAMOGGA,"Shipped - Returned to Seller"
408-8475308-5941931,Set,699,NOIDA,"Shipped - Returned to Seller"
402-8935180-5991563,kurta,487,TEZPUR,"Shipped - Returned to Seller"
402-7453333-6778710,kurta,458,TEZPUR,"Shipped - Returned to Seller"
408-1702547-8015536,Set,1186,JOWAI,"Shipped - Returned to Seller"
406-0412244-3880339,Set,654,AURANGABAD,"Shipped - Returned to Seller"
405-6998109-2669155,Set,1338,DEHRADUN,"Shipped - Returned to Seller"
406-3048523-7501142,kurta,399,"NEW Delhi","Shipped - Returned to Seller"
404-4092491-3691559,Set,654,DUMKA,"Shipped - Returned to Seller"
404-5456765-6611507,kurta,329,Bangalore,"Shipped - Returned to Seller"
404-6225324-8433109,kurta,499,HYDERABAD,"Shipped - Returned to Seller"
407-4458302-3532355,Set,657,Kasargod,"Shipped - Returned to Seller"
404-9565260-2340329,Set,625,JEHANABAD,"Shipped - Returned to Seller"
406-1914519-9593967,Set,680,RAIPUR,"Shipped - Returned to Seller"
403-7325929-2331519,Set,626,HYDERABAD,"Shipped - Returned to Seller"
403-8095902-0856331,kurta,399,ZIRAKPUR,"Shipped - Returned to Seller"
408-9710965-7003514,kurta,399,"NEW DELHI","Shipped - Returned to Seller"
404-2615605-3896336,Set,626,"NEW DELHI","Shipped - Returned to Seller"
403-3372324-5561152,kurta,316,NASHIK,"Shipped - Returned to Seller"
404-4986533-9217924,"Western Dress",744,Pune,"Shipped - Returned to Seller"
404-6771693-5756328,Top,359,AHMEDABAD,"Shipped - Returned to Seller"
406-8892297-9341969,kurta,399,"NEW DELHI","Shipped - Returned to Seller"
406-6814507-3675512,"Western Dress",885,SECUNDERABAD,"Shipped - Returned to Seller"
407-1524902-5188312,Set,597,JODHPUR,"Shipped - Returned to Seller"
171-2780875-1079552,Set,715,LAKHISARAI,"Shipped - Returned to Seller"
404-5208792-6499529,kurta,487,KANPUR,"Shipped - Returned to Seller"
407-8396405-7463515,Set,597,HYDERABAD,"Shipped - Returned to Seller"
406-1286550-0990737,Set,1115,PUNE,"Shipped - Returned to Seller"
408-3517099-8934705,Set,571,RANCHI,"Shipped - Returned to Seller"
404-8679563-6735530,"Western Dress",899,Mumbai,"Shipped - Returned to Seller"
405-1918024-3385133,kurta,376,Vijayawada,"Shipped - Returned to Seller"
406-7815396-9421119,"Western Dress",690,MYSORE,"Shipped - Returned to Seller"
407-3496249-1809925,kurta,442,Kanniyakumari,"Shipped - Returned to Seller"
171-1572951-7203522,kurta,471,HYDERABAD,"Shipped - Returned to Seller"
403-0981712-9337127,"Western Dress",443,PATNA,"Shipped - Returned to Seller"
406-7717390-4785102,Set,1369,BIHPURIA,"Shipped - Returned to Seller"
403-5192195-4917142,Set,1432,SIWAN,"Shipped - Returned to Seller"
404-5409027-9044368,kurta,459,HYDERABAD,"Shipped - Returned to Seller"
406-7442291-8933112,"Western Dress",690,GUWAHATI,"Shipped - Returned to Seller"
171-9442522-0857108,kurta,599,HYDERABAD,"Shipped - Returned to Seller"
405-5526126-4704362,kurta,357,TIRUPATI,"Shipped - Returned to Seller"
404-6380793-3880308,kurta,458,KOLKATA,"Shipped - Returned to Seller"
408-0300461-9675528,kurta,475,THRIPPUNITHURA,"Shipped - Returned to Seller"
408-7971836-9697921,Set,825,Hyderabad,"Shipped - Returned to Seller"
405-8255012-6908357,kurta,399,SATARA,"Shipped - Returned to Seller"
403-2352493-6876318,Set,659,KODAD,"Shipped - Returned to Seller"
404-4340890-6441935,kurta,495,VIJAYAPURa,"Shipped - Returned to Seller"
408-7108846-5008345,kurta,442,TENKASI,"Shipped - Returned to Seller"
402-4502484-6487547,kurta,475,THRIPPUNITHURA,"Shipped - Returned to Seller"
171-2183881-2784302,Set,799,JORHAT,"Shipped - Returned to Seller"
407-7332699-9829127,Set,684,"NEW DELHI","Shipped - Returned to Seller"
408-4215813-7590722,kurta,0,NAVELIM,"Shipped - Returned to Seller"
404-0835255-4457942,kurta,291,SINGRAULI,"Shipped - Returned to Seller"
408-7507580-1049908,kurta,499,PUTTUR,"Shipped - Returned to Seller"
171-2811429-1482764,kurta,399,PUNE,"Shipped - Returned to Seller"
402-0363207-4377949,Set,1186,KOLKATA,"Shipped - Returned to Seller"
406-0362574-0345908,kurta,487,"GREATER NOIDA","Shipped - Returned to Seller"
404-5063985-4861940,Set,666,CHENNAI,"Shipped - Returned to Seller"
408-2521576-0292342,kurta,368,CHENNAI,"Shipped - Returned to Seller"
404-6216776-5269102,Set,799,GANGTOK,"Shipped - Returned to Seller"
171-6939221-5973917,Set,939,SILCHAR,"Shipped - Returned to Seller"
404-6495397-4071556,"Western Dress",807,PUNE,"Shipped - Returned to Seller"
405-9732532-5175528,Set,545,HYDERABAD,"Shipped - Returned to Seller"
171-5258164-5920331,Set,999,VARANASI,"Shipped - Returned to Seller"
404-5277828-0055525,kurta,399,CHANDRAPUR,"Shipped - Returned to Seller"
405-9975222-9792302,kurta,329,GORAKHPUR,"Shipped - Returned to Seller"
408-0353047-5709121,kurta,459,PUDUCHERRY,"Shipped - Returned to Seller"
171-3310368-9141966,kurta,424,AMRITSAR,"Shipped - Returned to Seller"
408-7059216-9006707,Set,1115,LEH,"Shipped - Returned to Seller"
408-6039036-4254765,kurta,295,VAZHAPADI,"Shipped - Returned to Seller"
403-6928574-0287545,kurta,471,"MUNIYAPPAN KOVIL","Shipped - Returned to Seller"
402-9759104-3941967,kurta,399,Hyderabad,"Shipped - Returned to Seller"
406-3523961-2109931,Set,1099,LUCKNOW,"Shipped - Returned to Seller"
406-9126608-0817132,kurta,399,Lucknow,"Shipped - Returned to Seller"
407-8823145-8629130,Set,626,"New Delhi","Shipped - Returned to Seller"
403-7116469-0744344,Set,654,PUNE,"Shipped - Returned to Seller"
405-0143232-5352373,kurta,329,NAWABGANJ,"Shipped - Returned to Seller"
402-0714511-8179554,kurta,399,AMRAVATI,"Shipped - Returned to Seller"
408-9531373-0623556,Set,654,SOHAWAL,"Shipped - Returned to Seller"
405-7071712-2244324,Set,824,GHAZIABAD,"Shipped - Returned to Seller"
405-6176806-8961936,Set,631,THALASSERY,"Shipped - Returned to Seller"
404-7930123-9213942,kurta,442,SRIVILLIPUTHUR,"Shipped - Returned to Seller"
404-7134104-1875558,kurta,459,"NEW DELHI","Shipped - Returned to Seller"
406-8100768-0782739,Set,788,AJMER,"Shipped - Returned to Seller"
171-2268167-1901926,kurta,319,DURGAPUR,"Shipped - Returned to Seller"
407-2475811-3798704,"Ethnic Dress",845,PUNE,"Shipped - Returned to Seller"
405-1643557-5540352,Set,1186,HYDERABAD,"Shipped - Returned to Seller"
406-8828556-2303540,"Ethnic Dress",845,BENGALURU,"Shipped - Returned to Seller"
171-3869495-6438708,kurta,399,PUNE,"Shipped - Returned to Seller"
171-6250995-3457912,Blouse,545,DALTONGANJ,"Shipped - Returned to Seller"
403-5040616-1044331,kurta,442,HYDERABAD,"Shipped - Returned to Seller"
